171	_d4top@4	CB63
172	_d4unlock@4	CB63
173	_d4unlockRecord@8	CB63
174	_d4writeLow@12	CB63
175	_d4zap@12	CB63
176	_date4assign@8	CB63
177	_date4cdow@4	CB63
178	_date4cmonth@4	CB63
179	_date4dow@4	CB63
180	_date4format@12	CB63
181	_date4formatMdx2@8	CB63
182	_date4formatMdx@4	CB63
183	_date4init@12	CB63
184	_date4isLeap@4	CB63
185	_date4long@4	CB63
186	_date4timeNow@4	CB63
187	_date4today@4	CB63
188	_dfile4recCount@8	CB63
189	_dfile4remove@4	CB63
190	_error4default@12	CB63
191	_error4describeDefault@24	CB63
192	_error4describeExecute@24	CB63
193	_error4exitTest@4	CB63
194	_error4file@12	CB63
195	_error4hook@24	CB63
196	_error4set@8	CB63
197	_error4text@8	CB63
198	_expr4calcDelete@4	CB63
199	_expr4calcLookup@12	CB63
200	_expr4calcMassage@4	CB63
201	_expr4calcNameChange@12	CB63
202	_expr4calcResultPos@8	CB63
203	_expr4double2@8	CB63
204	_expr4double@4	CB63
205	_expr4execute@12	CB63
206	_expr4functions@4	CB63
207	_expr4key@12	CB63
208	_expr4nullLow@8	CB63
209	_expr4parseLow@12	CB63
210	_expr4source@4	CB63
211	_expr4str@4	CB63
212	_expr4true@4	CB63
213	_expr4vary@8	CB63
214	_f4assign@8	CB63
215	_f4assignChar@8	CB63
216	_f4assignDouble@12	CB63
217	_f4assignField@8	CB63
218	_f4assignInt@8	CB63
219	_f4assignLong@8	CB63
220	_f4assignN@12	CB63
221	_f4assignNotNull@4	CB63
222	_f4assignNull@4	CB63
223	_f4assignPtr@4	CB63
224	_f4blank@4	CB63
225	_f4char@4	CB63
226	_f4data@4	CB63
227	_f4decimals@4	CB63
228	_f4double2@8	CB63
229	_f4double@4	CB63
230	_f4flagAnd@8	CB63
231	_f4flagFlipReturns@4	CB63
232	_f4flagInit@12	CB63
233	_f4flagIsAllSet@12	CB63
234	_f4flagIsAnySet@12	CB63
235	_f4flagIsSet@8	CB63
236	_f4flagOr@8	CB63
237	_f4flagReset@8	CB63
238	_f4flagSet@8	CB63
239	_f4flagSetAll@4	CB63
240	_f4flagSetRange@12	CB63
241	_f4int@4	CB63
242	_f4len@4	CB63
243	_f4long@4	CB63
244	_f4memoAssign@8	CB63
245	_f4memoAssignN@12	CB63
246	_f4memoFree@4	CB63
247	_f4memoLen@4	CB63
248	_f4memoNcpy@12	CB63
249	_f4memoPtr@4	CB63
250	_f4memoSetLen@8	CB63
251	_f4memoStr@4	CB63
252	_f4name@4	CB63
253	_f4ncpy@12	CB63
254	_f4null@4	CB63
255	_f4number@4	CB63
256	_f4ptr@4	CB63
257	_f4str@4	CB63
258	_f4true@4	CB63
259	_f4type@4	CB63
260	_file4close@4	CB63
261	_file4create@16	CB63
262	_file4flush@4	CB63
263	_file4len@4	CB63
264	_file4lenSet@8	CB63
265	_file4lock@12	CB63
266	_file4open@16	CB63
267	_file4openTest@4	CB63
268	_file4optimizeLow@20	CB63
269	_file4optimizeWrite@8	CB63
270	_file4read@16	CB63
271	_file4readAll@16	CB63
272	_file4readError@16	CB63
273	_file4refresh@4	CB63
274	_file4replace@8	CB63
275	_file4seqRead@12	CB63
276	_file4seqReadAll@12	CB63
